Zipcode,Case Counts,Death Counts,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts(Per 1000),Case Counts(Per 1000)
11385,28570,325,105025,35.7,20.49,68.62,10.9,49.68,50.32,44.0,1.71,0.02,5.92,0,1.35,46.69,31940.0,77044.0,10.41,43.47,26.27,3.87,56.16,1.26,6.8,0.31,4.94,35589.0,2.95,46.74,53.26,38469.0,92.51,7.49,31.1,68.9,673600.0,6.84,93.16,16.16,30.0,23.92,19.67,10.24,39.44,38.61,11.52,3.29,0.09,45.96,0.54,3.0945013092120925,272.03046893596763
11411,4856,90,20473,45.1,17.64,62.51,19.85,46.69,53.31,1.81,89.54,0.07,0.4,0,0.99,6.49,38080.0,104269.0,3.76,49.3,54.71,4.91,35.02,0.5,1.22,0.71,3.12,6183.0,3.31,43.74,56.26,6366.0,97.13,2.87,87.06,12.94,464100.0,5.09,94.91,6.69,26.46,33.74,19.55,13.56,40.37,2.34,0.59,5.37,0,91.37,0.33,4.396033800615444,237.19044595320665
11412,10252,168,37987,40.8,19.32,66.13,14.54,45.44,54.56,1.19,84.83,0.79,2.34,0.23,2.56,6.42,32139.0,85235.0,8.32,47.13,47.57,5.88,38.34,0.32,2.02,1.64,4.11,11259.0,3.37,39.35,60.65,12027.0,93.61,6.39,74.86,25.14,475000.0,5.41,94.59,11.72,32.52,30.95,15.47,9.34,39.11,1.37,4.02,2.11,0.2,91.8,0.5,4.422565614552347,269.881801668992
11413,10471,196,41810,40.6,20.27,63.42,16.31,45.72,54.28,1.38,87.96,0.26,1.16,0.18,1.77,6.18,34683.0,91836.0,6.53,48.36,51.91,4.75,33.63,0.32,2.26,1.12,5.29,12694.0,3.27,40.83,59.17,13500.0,94.03,5.97,72.09,27.91,486900.0,5.64,94.36,10.2,31.13,32.29,15.98,10.4,38.47,1.2,2.06,3.94,0.06,92.45,0.29,4.687873714422387,250.44247787610618
11414,8383,165,27672,46.7,18.77,56.87,24.36,48.24,51.76,67.88,2.93,0,4.99,0,2.18,21.51,43104.0,75599.0,10.19,42.12,57.16,6.86,29.48,0.28,3.01,0.51,2.12,11058.0,2.5,50.38,49.62,11746.0,94.14,5.86,74.3,25.7,538500.0,5.85,94.15,11.65,31.78,28.41,15.27,12.9,19.67,46.67,15.66,1.34,0,34.97,1.36,5.962705984388552,302.941601618965
11415,5005,98,18464,39.9,20.37,64.18,15.45,49.3,50.7,49.82,4.22,1.03,16.67,0.03,2.85,24.17,45504.0,75476.0,9.78,43.34,26.58,4.26,53.05,2.05,4.86,1.21,6.61,7849.0,2.34,46.79,53.21,8997.0,87.24,12.76,39.36,60.64,377700.0,12.55,87.45,7.66,19.08,24.87,27.23,21.15,41.2,24.0,40.29,4.13,0,31.02,0.55,5.307625649913345,271.06802426343154
11416,8198,126,26087,37.3,21.93,65.03,13.03,51.84,48.16,13.13,3.6,0,31.96,0.05,3.87,46.06,26090.0,73471.0,14.74,47.19,29.55,5.56,49.42,0.87,5.72,1.33,7.68,7409.0,3.51,51.48,48.52,7979.0,92.86,7.14,44.36,55.64,591600.0,7.23,92.77,22.96,31.82,23.88,15.24,6.1,50.43,6.57,30.8,1.63,0.32,60.54,0.14,4.829991950013416,314.2561429064285
11417,9499,119,31156,36.9,23.29,63.43,13.28,45.98,54.02,16.65,6.99,0,29.92,0.01,4.4,37.15,27832.0,79210.0,13.91,47.47,34.08,6.19,48.16,0.6,3.99,4.88,5.41,8887.0,3.5,53.89,46.11,9577.0,92.8,7.2,59.13,40.87,587600.0,8.54,91.46,19.53,27.92,25.96,18.8,7.79,42.16,7.2,36.86,0.65,0,55.14,0.14,3.819489022981127,304.88509436384646
11418,10565,168,37666,36.8,23.04,63.72,13.24,51.08,48.92,16.6,6.98,0.74,23.38,0,6.08,43.4,28897.0,73856.0,12.1,46.15,30.6,5.64,49.51,0.46,5.58,2.82,7.21,11250.0,3.29,52.29,47.71,11987.0,93.85,6.15,46.27,53.73,593100.0,9.91,90.09,20.57,28.17,21.37,18.49,11.4,48.47,5.44,28.39,0.94,0,65.11,0.13,4.4602559337333405,280.49169011840917
11419,13411,223,47955,40.5,18.29,66.43,15.28,51.18,48.82,3.95,12.61,0.45,38.21,0.05,6.03,18.47,25432.0,79589.0,11.16,48.3,36.59,8.78,47.86,0.15,4.25,20.23,1.46,12497.0,3.83,52.42,47.58,13204.0,94.65,5.35,62.87,37.13,577200.0,6.48,93.52,27.3,32.65,18.84,14.52,6.68,65.62,1.08,27.65,0.32,0.03,70.71,0.19,4.650192889166927,279.65801272025857
11420,13145,219,47266,39.8,19.53,67.93,12.54,50.74,49.26,5.06,23.86,1.47,31.65,0.24,7.27,24.3,29024.0,85190.0,10.28,47.52,47.51,6.97,37.41,0,1.29,6.15,4.92,13042.0,3.62,49.59,50.41,14205.0,91.81,8.19,71.39,28.61,563300.0,4.67,95.33,21.83,32.34,25.39,13.45,6.99,49.6,1.22,14.97,0.85,0,82.88,0.07,4.633351669276013,278.1068844412474
11421,12893,203,39654,38.3,21.44,65.7,12.86,49.86,50.14,14.7,3.79,0,19.33,0,2.34,58.42,28860.0,77738.0,8.96,48.1,28.83,5.16,56.67,0.23,3.89,1.41,4.4,11325.0,3.5,49.93,50.07,12389.0,91.41,8.59,53.61,46.39,554400.0,7.33,92.67,22.26,28.27,24.76,17.84,6.86,50.71,6.78,24.51,0.32,0,68.14,0.26,5.119281787461542,325.13743884601803
11422,8215,134,32786,39.6,19.99,65.47,14.55,46.99,53.01,4.42,81.66,0.09,2.28,0,2.05,8.81,33878.0,93397.0,7.34,50.37,54.81,6.54,30.92,0,1.82,0.7,3.59,9951.0,3.29,41.16,58.84,10516.0,94.63,5.37,66.62,33.38,480100.0,6.86,93.14,10.83,27.48,32.27,18.69,10.73,39.71,1.77,2.66,5.32,0,90.25,0,4.087110351979503,250.56426523516134
11423,8484,212,29532,41.6,19.52,62.86,17.62,47.97,52.03,10.1,37.58,0.52,29.78,0,2.87,13.63,30866.0,70990.0,10.24,45.36,41.59,4.98,43.07,0.11,2.68,5.53,6.16,9838.0,2.96,47.35,52.65,10446.0,94.18,5.82,57.77,42.23,553300.0,4.5,95.5,14.29,24.79,27.59,21.55,11.78,54.33,3.93,28.72,5.41,0,61.86,0.09,7.178653663822294,287.2815928484356
11426,4950,69,20222,40.0,22.01,57.84,20.15,49.26,50.74,27.84,5.49,0.06,42.78,0,2.92,19.67,42143.0,102770.0,6.42,41.18,60.08,11.07,24.08,0,1.31,1.24,2.35,6287.0,3.2,63.68,36.32,6716.0,93.61,6.39,76.52,23.48,576600.0,7.07,92.93,9.2,27.32,22.38,23.83,17.27,43.79,4.4,66.16,0.68,0.37,28.39,0,3.412125407971516,244.78290970230444
11427,6036,95,25096,42.9,20.37,58.36,21.27,49.25,50.75,16.99,20.56,0.67,33.09,0,4.55,20.72,33963.0,81688.0,9.06,46.61,48.88,7.2,37.25,0.16,1.09,3.43,4.45,7745.0,3.12,55.65,44.35,8197.0,94.49,5.51,61.08,38.92,558600.0,5.48,94.52,14.08,24.57,26.54,21.01,13.8,48.19,3.3,48.22,1.94,0,46.46,0.07,3.7854638189352885,240.5164169588779
11428,5328,105,19830,42.8,18.32,61.07,20.61,49.64,50.36,10.82,19.11,0.14,29.09,0,6.94,24.07,30134.0,77466.0,7.85,45.98,47.33,8.3,37.53,0.29,2.29,9.82,3.48,6121.0,3.24,54.36,45.64,6510.0,94.02,5.98,71.44,28.56,551600.0,3.93,96.07,18.44,31.85,25.7,15.87,8.13,51.22,4.13,25.71,0.24,0,69.66,0.27,5.29500756429652,268.6838124054463
11429,7581,145,27808,40.9,18.01,63.78,18.22,45.49,54.51,2.24,69.54,0.56,3.8,0.1,4.39,14.35,30634.0,82532.0,8.93,50.63,46.21,8.02,38.03,0.35,1.45,5.03,4.19,8006.0,3.46,40.85,59.15,8354.0,95.83,4.17,72.48,27.52,480000.0,8.04,91.96,14.16,30.07,29.65,16.93,9.19,42.71,1.09,5.7,1.52,0,91.46,0.23,5.214326812428078,272.61939010356735
11432,15994,440,64282,36.6,21.25,63.0,15.75,47.42,52.58,12.46,17.1,0.52,42.36,0.19,4.63,20.82,28208.0,66270.0,13.66,45.68,32.02,3.61,49.37,0.24,7.34,1.93,5.82,18790.0,3.18,50.49,49.51,20105.0,93.46,6.54,39.7,60.3,650800.0,11.3,88.7,19.32,22.62,21.29,23.43,13.35,56.73,4.44,53.91,3.0,0.03,38.48,0.14,6.844839924084503,248.80993124047168
11433,9870,193,36929,34.8,23.21,63.6,13.19,45.56,54.44,2.86,60.3,0.26,12.88,0.02,3.17,14.44,24772.0,62453.0,12.58,48.59,39.65,6.33,46.82,0.07,3.48,6.08,2.95,10655.0,3.45,39.74,60.26,11433.0,93.2,6.8,43.53,56.47,459400.0,8.98,91.02,20.72,36.14,25.32,12.82,5.01,40.0,0.63,23.92,4.91,0,70.42,0.12,5.226244956538221,267.26962549757644
11434,16826,372,62590,38.9,22.63,62.08,15.29,44.12,55.88,1.61,81.36,0.02,3.29,0,2.24,9.44,30303.0,65845.0,9.57,48.93,44.38,4.53,44.29,0.19,1.97,2.04,2.28,21510.0,2.81,38.0,62.0,22644.0,94.99,5.01,49.74,50.26,441000.0,6.38,93.62,12.71,30.17,34.11,15.23,7.78,33.8,0.86,3.73,6.07,0.04,88.94,0.36,5.943441444320179,268.82888640357885
11435,14995,293,59392,35.8,21.71,65.45,12.84,51.11,48.89,12.83,25.04,0.25,21.95,0,3.17,30.81,29557.0,69873.0,14.94,46.55,29.18,4.09,53.05,0.14,6.17,5.96,6.16,19310.0,3.01,47.8,52.2,20323.0,95.02,4.98,34.34,65.66,441300.0,8.99,91.01,20.9,21.03,26.71,19.88,11.48,51.68,7.18,31.81,3.5,0,57.29,0.22,4.933324353448276,252.47508081896552
11436,5276,88,18955,38.7,21.07,65.71,13.22,48.01,51.99,1.8,59.74,0,8.73,0,6.48,14.17,29271.0,72962.0,9.57,46.89,49.18,6.66,34.38,0.05,5.04,9.08,2.43,5496.0,3.4,42.41,57.59,5908.0,93.03,6.97,69.45,30.55,459900.0,5.99,94.01,16.34,35.8,26.76,14.77,6.33,40.84,1.38,5.68,2.76,0,89.74,0.43,4.6425745185966765,278.3434450013189
