Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000),area,population_density
60642,20191,31.8,8.96,85.72,5.32,50.63,49.37,61.15,9.49,0.0,8.46,0.0,3.09,17.09,70863.0,120442.0,7.52,28.15,36.64,2.59,35.22,2.77,7.97,0.73,12.19,9739.0,2.07,30.66,69.34,10519.0,92.58,7.42,36.13,63.87,475000.0,24.49,75.51,4.05,8.45,13.54,48.46,25.49,11.19,22.61,36.99,2.57,0.93,35.31,1.59,25,1.24,4243,210.14,2,10095.5
60659,43843,34.8,27.18,61.54,11.28,49.98,50.02,38.56,8.2,0.67,26.27,0.0,5.36,20.72,24645.0,54807.0,18.97,33.73,64.12,7.22,14.28,1.27,4.84,0.23,6.27,13709.0,3.16,50.64,49.36,14821.0,92.5,7.5,42.63,57.37,303900.0,9.18,90.82,18.36,21.58,22.13,24.66,13.27,44.5,14.14,60.56,6.75,0.54,17.32,0.7,111,2.53,8187,186.73,2,21921.5
60634,75604,40.6,20.41,64.75,14.84,48.48,51.52,52.68,1.91,0.11,5.13,0.0,0.86,39.24,32294.0,72507.0,8.71,37.81,73.45,9.65,8.61,0.44,1.62,0.08,4.24,26678.0,2.82,49.46,50.54,28453.0,93.76,6.24,72.54,27.46,273700.0,7.26,92.74,12.83,30.94,30.49,17.3,8.45,33.72,49.13,12.61,2.1,0.28,35.73,0.15,228,3.02,19170,253.56,7,10800.6
60613,51399,33.3,12.23,78.69,9.09,48.76,51.24,71.94,6.17,0.0,6.64,0.02,3.09,12.0,65591.0,84463.0,9.69,36.21,28.73,3.18,45.35,2.25,4.79,0.15,14.55,27281.0,1.87,34.76,65.24,29855.0,91.38,8.62,39.11,60.89,341900.0,22.87,77.13,3.52,6.54,14.66,45.18,30.11,14.47,26.68,34.86,12.55,0.51,21.76,3.64,55,1.07,9238,179.73,2,25699.5
60610,40954,33.4,8.27,76.75,14.98,47.7,52.3,67.72,12.5,0.0,10.18,0.0,3.71,5.66,92334.0,95994.0,10.76,27.34,22.51,3.16,33.14,1.24,19.06,0.23,14.44,24277.0,1.61,30.87,69.13,28405.0,85.47,14.53,38.6,61.4,458100.0,26.11,73.89,3.01,7.2,12.35,41.18,36.26,14.05,27.49,47.44,3.68,0.56,13.78,7.05,46,1.12,7842,191.48,1,40954.0
60654,20812,33.2,5.9,87.08,7.02,52.19,47.81,71.96,3.72,0.0,12.67,0.0,3.82,7.68,114428.0,128101.0,7.32,22.25,22.64,1.07,12.33,1.44,44.0,0.15,12.37,13181.0,1.57,37.83,62.17,14536.0,90.68,9.32,37.61,62.39,462000.0,29.19,70.81,1.41,3.42,6.71,48.88,39.58,14.22,25.62,42.48,0.64,0.81,27.1,3.35,5,0.24,4344,208.73,1,20812.0
60632,86715,31.4,27.29,61.92,10.79,51.66,48.34,8.9,1.08,0.03,6.66,0.0,0.4,82.93,18927.0,46937.0,16.16,33.61,57.58,16.42,19.03,0.61,3.24,0.64,2.48,25170.0,3.43,46.63,53.37,27527.0,91.44,8.56,54.92,45.08,190900.0,6.33,93.67,32.01,38.65,18.16,8.69,2.49,40.08,4.93,12.17,0.77,0.0,82.11,0.01,241,2.78,20932,241.39,7,12387.9
60623,77732,32.9,26.57,61.25,12.18,49.35,50.65,3.85,28.58,0.02,0.27,0.0,0.27,66.86,16840.0,34714.0,27.3,37.92,53.21,15.39,22.37,1.0,3.77,0.15,2.96,25746.0,3.0,36.56,63.44,30518.0,84.36,15.64,36.0,64.0,167500.0,10.69,89.31,33.78,32.18,22.0,8.82,3.22,30.44,0.39,0.79,0.22,0.1,98.32,0.17,307,3.95,19109,245.83,5,15546.4
60629,107930,31.3,28.86,59.73,11.41,48.81,51.19,7.08,18.07,0.04,0.55,0.0,1.0,73.21,19159.0,43372.0,18.82,35.85,61.89,16.31,14.93,0.13,2.59,0.05,2.8,31961.0,3.37,42.44,57.56,35063.0,91.15,8.85,56.19,43.81,178300.0,7.35,92.65,26.95,39.24,22.73,7.81,3.28,29.71,3.92,2.31,0.41,0.05,93.2,0.1,318,2.95,27819,257.75,7,15418.6
60620,68761,39.4,23.56,58.46,17.98,45.13,54.87,1.16,94.82,0.06,0.34,0.0,0.9,2.44,21225.0,39499.0,24.46,40.73,58.02,6.71,25.34,0.14,0.6,0.28,6.34,25454.0,2.68,26.93,73.07,30375.0,83.8,16.2,47.55,52.45,148800.0,14.14,85.86,14.14,29.79,37.81,12.03,6.23,2.27,0.64,14.33,13.82,0.06,71.15,0.0,248,3.61,11979,174.21,7,9823.0
60637,46621,31.0,22.88,64.79,12.34,43.82,56.18,13.84,74.7,0.15,4.89,0.0,2.5,3.02,28292.0,30149.0,34.56,33.83,37.13,6.11,33.04,2.34,12.13,0.9,7.02,20122.0,2.15,22.46,77.54,24724.0,81.39,18.61,24.7,75.3,212000.0,22.34,77.66,11.59,22.28,31.93,14.17,20.03,7.17,17.46,47.58,16.12,2.6,14.0,2.24,87,1.87,8689,186.38,5,9324.2
60619,61372,41.9,20.64,60.85,18.51,43.92,56.08,1.0,95.09,0.01,0.28,0.0,1.58,1.71,25520.0,40762.0,24.1,40.0,56.79,7.28,25.12,0.05,1.42,0.32,8.6,27274.0,2.24,24.6,75.4,32868.0,82.98,17.02,44.66,55.34,167000.0,14.99,85.01,10.44,25.82,37.05,16.76,9.93,1.55,3.35,10.17,31.45,0.0,55.03,0.0,204,3.32,10670,173.86,6,10228.7
