Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
10037,19177,38.6,19.63,62.12,18.25,42.2,57.8,7.37,63.29,0.14,3.93,0,1.67,23.09,36875.0,50686.0,23.27,39.38,11.76,2.18,62.53,1.27,7.29,0.51,12.61,9797.0,1.92,24.33,75.67,10965.0,89.35,10.65,5.09,94.91,375000.0,8.64,91.36,13.13,27.25,17.38,23.8,18.44,15.06,6.37,18.46,25.0,0.38,47.65,2.15,5186.0,124.0,6.466079157323877,270.42811701517445
10038,24205,35.5,15.59,67.94,16.47,46.11,53.89,46.37,8.28,0.28,28.39,0,3.78,10.87,71549.0,95640.0,20.3,27.31,4.62,1.63,50.67,1.87,28.49,2.03,10.27,10800.0,2.13,35.76,64.24,12415.0,86.99,13.01,25.47,74.53,827700.0,17.73,82.27,18.18,10.63,10.76,37.33,23.09,27.72,22.73,64.29,0.58,0.82,9.94,1.64,5405.0,70.0,2.8919644701507954,223.3009708737864
10039,27090,35.3,23.28,66.43,10.29,45.34,54.66,8.15,53.49,0.19,1.95,0,2.4,33.45,27180.0,41363.0,29.6,41.54,9.19,1.55,75.84,2.18,3.96,0.36,5.71,11490.0,2.33,25.5,74.5,12137.0,94.67,5.33,15.34,84.66,455500.0,7.68,92.32,17.03,25.38,25.78,17.77,14.04,22.96,4.07,9.77,20.56,0,64.2,1.4,6359.0,123.0,4.5404208194905875,234.7360649686231
10040,45197,38.5,18.09,63.95,17.96,47.42,52.58,21.08,4.24,0.09,2.54,0,1.78,69.53,28633.0,53199.0,20.33,41.84,7.03,2.45,68.23,0.58,11.0,0.73,9.82,16100.0,2.72,37.04,62.96,16946.0,95.01,4.99,12.47,87.53,449200.0,11.5,88.5,24.39,18.71,19.02,22.2,15.68,47.19,7.94,4.61,1.05,0.24,85.6,0.55,10628.0,261.0,5.7747195610328115,235.14835055424032
10044,12770,41.7,15.11,65.0,19.88,45.06,54.94,43.05,12.0,0,31.91,0,3.52,9.37,61598.0,112658.0,7.99,38.71,5.47,3.28,75.95,0.55,1.87,0.15,8.34,5047.0,2.25,46.89,53.11,5728.0,88.11,11.89,25.62,74.38,919100.0,19.08,80.92,7.38,14.27,10.69,21.48,46.18,52.63,16.55,53.62,14.25,1.56,13.57,0.45,2296.0,60.0,4.698512137823023,179.79639780736102
10065,30339,37.4,15.74,64.19,20.07,43.87,56.13,73.97,1.95,0,14.48,0,1.71,7.86,138389.0,153002.0,6.0,25.11,5.04,1.38,40.86,1.6,35.02,0.03,11.53,15708.0,1.91,45.88,54.12,21801.0,72.05,27.95,31.79,68.21,1721800.0,21.97,78.03,1.75,6.72,8.55,39.23,43.75,26.61,35.9,41.51,1.6,2.54,13.37,5.08,7242.0,55.0,1.812848149246844,238.70265994264807
10069,6504,36.3,30.01,60.7,9.29,49.6,50.4,45.97,3.64,0,28.74,0,4.81,16.84,110364.0,130556.0,20.45,31.9,2.9,4.89,51.1,6.4,19.33,7.13,8.25,3106.0,2.09,58.3,41.7,3997.0,77.71,22.29,28.62,71.38,1731600.0,26.69,73.31,0.59,9.73,4.82,33.18,51.69,29.32,6.55,74.72,4.51,2.31,8.44,3.46,1723.0,3.0,0.46125461254612543,264.9138991389914
10075,22591,41.6,14.66,56.92,28.43,43.52,56.48,71.84,2.02,0.59,6.25,0.23,2.64,16.42,130081.0,123854.0,7.09,27.97,11.0,2.84,45.07,0.8,20.82,7.18,12.28,12075.0,1.83,45.49,54.51,14190.0,85.1,14.9,42.19,57.81,1083700.0,17.97,82.03,1.66,10.71,12.37,35.48,39.78,25.01,21.69,21.54,11.58,0.94,42.03,2.23,5324.0,90.0,3.983887388783144,235.6690717542384
10128,57993,40.9,13.83,67.36,18.81,43.23,56.77,68.28,4.18,0.02,9.17,0,2.88,14.72,107897.0,117926.0,7.12,33.61,6.16,1.84,60.92,1.57,12.7,0.75,11.47,29698.0,1.94,44.84,55.16,35039.0,84.76,15.24,31.06,68.94,1214600.0,18.28,81.72,4.7,7.73,7.71,36.68,43.19,23.72,32.96,32.41,3.74,2.25,25.27,3.37,13006.0,115.0,1.9829979480282105,224.26844619178178
10280,9372,43.3,17.07,74.84,8.09,53.17,46.83,66.87,0.59,0,17.97,0,3.03,11.55,121727.0,170385.0,5.11,28.6,5.89,0.24,49.11,0.9,24.23,6.68,12.94,4524.0,2.07,53.28,46.72,5247.0,86.22,13.78,26.9,73.1,1055900.0,15.68,84.32,0.97,2.21,7.21,40.74,48.87,27.93,43.2,42.02,0.84,0.57,13.03,0.34,1639.0,7.0,0.7469056764831413,174.88262910798122
