Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
27880,3954,42.4,18.16,58.35,23.5,49.97,50.03,66.94,10.9,0.28,1.44,0.0,3.01,17.43,33366.0,71899.0,6.88,30.84,90.07,4.68,0.58,0.0,0.32,0.0,4.36,1613.0,2.42,68.09,31.91,1695.0,95.16,4.84,82.02,17.98,140700.0,7.08,92.92,11.34,34.24,41.51,8.15,4.75,8.04,0.0,17.92,0.0,0.0,82.08,0.0,0.0,0.0,331.0,83.71269600404653
27869,1550,61.8,11.42,48.71,39.87,45.23,54.77,26.52,71.23,0.0,0.52,0.0,0.0,1.74,22177.0,32883.0,18.5,34.61,78.11,16.98,0.0,0.0,0.0,2.26,2.64,786.0,1.8,46.23,53.77,1120.0,70.18,29.82,81.81,18.19,66700.0,15.48,84.52,18.9,46.81,25.58,7.31,1.4,0.52,0.0,100.0,0.0,0.0,0.0,0.0,12.0,7.741935483870968,249.0,160.6451612903226
27843,1018,51.3,12.87,69.94,17.19,56.88,43.12,33.99,58.55,2.95,0.0,0.0,0.0,4.52,16598.0,40341.0,29.57,25.51,96.86,3.14,0.0,0.0,0.0,0.0,0.0,393.0,2.59,45.6,54.4,500.0,78.6,21.4,73.03,26.97,81300.0,10.29,89.71,23.3,39.58,25.29,10.19,1.64,1.67,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.9823182711198428,101.0,99.21414538310412
27827,182,56.4,10.44,82.97,6.59,54.95,45.05,64.29,35.71,0.0,0.0,0.0,0.0,0.0,29806.0,78299.0,3.85,39.86,88.89,5.56,5.56,0.0,0.0,0.0,0.0,83.0,2.19,80.59,19.41,88.0,94.32,5.68,100.0,0.0,38400.0,1.1,98.9,3.14,84.91,10.69,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,104.3956043956044
27553,2774,43.6,20.91,62.47,16.62,52.92,47.08,26.78,71.2,0.43,0.0,0.0,0.58,1.01,15003.0,29681.0,20.75,27.86,78.21,20.33,0.0,0.0,0.0,1.46,0.0,858.0,2.46,38.82,61.18,1192.0,71.98,28.02,73.54,26.46,83600.0,20.34,79.66,24.04,35.76,31.5,6.93,1.77,0.87,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,433.0,156.09228550829127
27509,6160,43.1,14.64,65.78,19.58,60.6,39.4,43.04,44.64,0.62,0.13,0.0,2.03,9.32,18205.0,59536.0,16.41,22.97,76.6,12.48,0.66,0.0,1.33,0.23,8.93,1559.0,2.72,41.2,58.8,1662.0,93.8,6.2,57.34,42.66,155800.0,19.11,80.89,26.78,31.02,27.59,10.99,3.62,4.38,1.85,2.22,0.0,0.0,95.93,0.0,35.0,5.681818181818182,1422.0,230.84415584415584
27229,3310,32.7,23.69,62.6,13.72,47.73,52.27,63.44,15.2,0.0,0.0,0.0,1.0,20.36,16058.0,40875.0,23.72,21.1,91.58,6.3,0.0,0.0,1.03,0.0,1.1,1155.0,2.84,48.06,51.94,1453.0,79.49,20.51,69.35,30.65,89800.0,2.79,97.21,22.39,40.89,27.96,7.14,1.62,10.94,0.0,0.0,0.0,0.0,100.0,0.0,12.0,3.625377643504532,458.0,138.36858006042297
27217,38587,36.6,25.57,59.27,15.15,48.11,51.89,42.83,31.3,0.12,0.96,0.04,2.07,21.71,21662.0,45233.0,19.6,25.42,86.98,10.27,0.02,0.0,0.42,0.97,1.99,14094.0,2.69,43.26,56.74,16261.0,86.67,13.33,64.23,35.77,116900.0,10.64,89.36,18.17,33.71,35.68,8.88,3.56,11.92,1.44,6.2,0.26,0.07,91.58,0.46,72.0,1.8659133905201235,4182.0,108.3784694327105
27212,1923,40.7,12.79,79.04,8.16,66.61,33.39,45.61,50.23,0.36,0.0,0.42,1.04,2.34,18625.0,56293.0,15.5,22.15,72.45,9.98,0.0,0.0,3.69,10.63,3.25,498.0,2.31,37.44,62.56,562.0,88.61,11.39,73.49,26.51,148500.0,2.44,97.56,15.81,37.4,27.62,10.92,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5200208008320333,319.0,165.88663546541864
27209,4514,35.4,33.47,50.0,16.53,48.14,51.86,38.75,13.87,0.0,0.2,0.0,3.59,43.6,20924.0,40927.0,24.75,22.83,81.59,15.57,0.0,0.0,2.27,0.57,0.0,1571.0,2.8,50.29,49.71,1858.0,84.55,15.45,66.2,33.8,111700.0,2.02,97.98,30.55,24.27,24.91,13.43,6.83,19.52,0.0,1.02,0.0,0.0,98.98,0.0,31.0,6.867523260965884,636.0,140.89499335400973
28761,6742,49.6,15.29,62.68,22.03,48.77,51.23,92.01,2.57,0.25,0.0,0.0,1.26,3.92,29031.0,41156.0,13.7,24.43,84.68,7.6,0.0,0.0,1.69,0.0,6.03,2913.0,2.24,61.38,38.62,3500.0,83.23,16.77,79.61,20.39,144400.0,10.06,89.94,12.3,29.58,37.05,12.4,8.66,2.11,7.04,0.0,0.0,0.0,75.35,17.61,14.0,2.076535152773657,804.0,119.25244734500149
28752,31690,41.6,22.04,58.54,19.42,50.47,49.53,85.29,4.58,0.09,1.21,0.0,1.66,7.12,24376.0,48878.0,16.06,23.3,84.72,10.45,0.05,0.0,0.61,0.04,3.49,12428.0,2.48,57.0,43.0,14387.0,86.38,13.62,71.97,28.03,128900.0,10.67,89.33,16.76,31.06,33.4,13.22,5.56,5.12,6.91,20.36,0.25,0.0,68.85,3.64,32.0,1.0097822656989586,2960.0,93.40485957715369
28745,440,53.5,23.18,30.23,46.59,44.55,55.45,88.18,0.0,11.82,0.0,0.0,0.0,0.0,41775.0,65027.0,0.0,16.82,100.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,2.09,61.54,38.46,610.0,34.59,65.41,89.1,10.9,316100.0,17.05,82.95,4.44,9.47,22.19,36.39,27.51,4.55,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,120.45454545454544
28731,9079,51.9,17.7,51.72,30.58,48.0,52.0,84.02,0.91,0.0,0.29,0.0,1.02,13.76,31388.0,59214.0,14.47,19.87,78.98,7.19,0.03,0.0,2.52,2.11,9.17,3654.0,2.43,58.98,41.02,4446.0,82.19,17.81,78.54,21.46,254800.0,16.02,83.98,8.4,28.76,31.69,18.53,12.62,5.41,9.98,8.55,4.89,0.0,64.77,11.81,11.0,1.2115871792047583,706.0,77.76186804714176
28726,3953,29.0,31.55,59.32,9.13,41.11,58.89,71.52,6.53,0.0,2.28,0.0,0.3,19.38,18659.0,46141.0,13.36,16.35,71.36,15.69,0.0,0.0,2.99,0.0,9.96,1377.0,2.87,45.18,54.82,1477.0,93.23,6.77,55.27,44.73,148400.0,12.63,87.37,17.02,37.05,35.41,6.54,3.98,13.08,2.51,13.93,1.93,0.0,81.62,0.0,3.0,0.7589172780166962,269.0,68.0495825954971
28717,1933,59.8,12.83,55.46,31.71,50.75,49.25,96.59,0.0,0.0,0.0,0.0,0.0,1.29,40852.0,56519.0,3.83,17.14,90.45,4.37,0.0,0.0,2.19,2.12,2.99,952.0,2.02,60.31,39.69,3133.0,30.39,69.61,84.03,15.97,301300.0,6.1,93.9,10.83,27.91,19.9,36.36,5.01,1.71,24.24,0.0,0.0,0.0,75.76,0.0,4.0,2.0693222969477496,118.0,61.045007759958615
28697,14524,43.6,22.39,54.74,22.87,44.95,55.05,83.68,4.17,0.17,0.87,0.81,2.28,7.97,27503.0,47212.0,14.22,20.07,82.81,11.99,0.15,0.0,0.29,0.06,4.49,6216.0,2.27,53.91,46.09,6992.0,88.9,11.1,67.26,32.74,168500.0,9.29,90.71,14.85,29.94,30.12,16.44,8.64,3.99,17.07,19.14,0.0,0.0,59.48,4.31,31.0,2.134398237400165,1174.0,80.83172679702562
28690,9696,45.9,19.67,56.57,23.76,48.27,51.73,88.72,2.68,0.06,2.92,0.0,1.31,4.25,27043.0,49846.0,14.0,21.24,91.05,4.45,0.0,0.0,0.61,0.06,3.88,4032.0,2.39,50.51,49.49,4603.0,87.6,12.4,78.45,21.55,121500.0,13.0,87.0,13.27,34.71,29.62,13.21,9.19,3.21,7.07,51.13,0.0,0.0,41.8,0.0,12.0,1.2376237623762376,783.0,80.75495049504951
28689,2955,42.0,27.58,65.21,7.21,53.4,46.6,68.73,1.93,0.0,0.0,0.0,7.11,22.23,21042.0,62125.0,19.29,27.21,87.6,6.75,0.0,0.0,0.0,2.05,3.6,854.0,3.46,65.66,34.34,992.0,86.09,13.91,74.0,26.0,142600.0,3.99,96.01,16.41,53.22,24.19,5.11,1.07,11.44,0.0,0.0,0.0,0.0,90.83,9.17,0.0,0.0,155.0,52.45346869712352
28681,27820,45.2,19.41,59.92,20.68,51.01,48.99,87.15,6.41,0.49,0.74,0.0,2.28,2.94,25859.0,51114.0,10.31,23.43,83.11,10.05,0.0,0.0,0.94,1.75,4.15,10326.0,2.57,55.28,44.72,12052.0,85.68,14.32,81.02,18.98,138200.0,8.94,91.06,17.02,39.9,30.19,9.19,3.71,2.35,17.4,15.57,0.0,0.0,61.53,5.5,47.0,1.6894320632638389,2537.0,91.19338605319912
28677,34710,40.2,22.94,60.89,16.17,49.48,50.52,60.87,24.11,0.12,0.66,0.0,2.17,12.08,24583.0,45587.0,17.07,22.47,83.04,10.99,0.73,0.12,0.7,0.24,4.18,13629.0,2.51,45.74,54.26,15305.0,89.05,10.95,65.43,34.57,142700.0,12.04,87.96,14.98,30.04,33.11,16.01,5.86,6.21,4.17,8.25,1.25,0.88,85.21,0.23,45.0,1.296456352636128,2958.0,85.22039757994816
28675,7134,50.5,17.47,56.69,25.85,48.82,51.18,84.96,2.34,0.76,0.5,0.01,1.12,10.3,25934.0,35984.0,26.1,24.94,83.54,8.82,0.0,0.21,0.86,0.0,6.58,3182.0,2.2,56.82,43.18,4280.0,74.35,25.65,71.81,28.19,152500.0,9.41,90.59,21.97,30.45,27.14,12.5,7.94,3.74,8.24,8.99,0.0,0.0,82.77,0.0,4.0,0.5606952621250351,550.0,77.09559854219232
