Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
54837,3622,51.8,17.23,58.45,24.32,52.04,47.96,93.84,0.44,0.25,0.47,0.25,0.99,3.75,31045,52123,10.42,31.27,77.74,10.78,0.24,0.53,2.49,0.95,7.28,1669,2.11,59.56,40.44,2217,75.28,24.72,79.57,20.43,156400,7.5,92.5,8.02,39.29,32.43,12.89,7.37,1.27,19.57,41.3,0,4.35,30.43,4.35,16,4.417448923,885,244.3401436
54838,1090,59.6,8.26,58.81,32.94,54.4,45.6,87.34,1.28,4.95,0,0,5.23,1.19,32936,59821,17.73,35.59,78.04,7.88,0.24,0,5.73,1.91,6.21,476,2.19,61.42,38.58,1580,30.13,69.87,87.61,12.39,173700,15.35,84.65,6.48,32.09,33.96,16.15,11.32,1.19,0,0,0,0,84.62,15.38,0,0,285,261.4678899
54839,263,52.2,14.45,50.57,34.98,46.39,53.61,85.17,0,11.79,0,0,0,3.04,27650,48333,14.07,27.3,84,3,0,0,2,0,11,138,1.91,61.23,38.77,194,71.13,28.87,82.61,17.39,150000,16.73,83.27,8.84,41.86,26.05,14.88,8.37,4.18,100,0,0,0,0,0,0,0,72,273.7642586
54840,4360,44.9,21.65,58.72,19.63,52.89,47.11,93.12,1.03,0.94,0.28,0.02,3.19,1.42,29133,55134,11.35,30.99,81.88,10.22,0.4,0.05,1.48,0.54,5.43,1984,2.17,52.81,47.19,2928,67.76,32.24,81.05,18.95,138200,10.83,89.17,6.83,34.51,36.88,16.06,5.72,1.22,11.32,24.53,0,0,58.49,5.66,16,3.669724771,1234,283.0275229
54841,250,43,26.4,54,19.6,51.2,48.8,93.2,0,3.2,0,0,0.4,3.2,27524,49792,10.57,20.84,84.96,7.52,0,0,1.5,0,6.02,122,2.05,43.22,56.78,134,91.04,8.96,89.34,10.66,99800,6.88,93.12,11.3,36.72,31.64,13.56,6.78,0,0,0,0,0,0,0,1,4,47,188
54842,261,36,43.68,51.72,4.6,60.15,39.85,100,0,0,0,0,0,0,26387,87054,0,31.75,75.21,21.49,0,0,0,0,3.31,83,3.14,60.11,39.89,104,79.81,20.19,89.16,10.84,165700,3.83,96.17,0,15.28,75,7.64,2.08,0,0,0,0,0,0,0,0,0,15,57.47126437
54843,11514,48.4,20.9,54.5,24.6,50.23,49.77,77.94,0.09,16.69,0.58,0.04,2.61,2.04,34664,56155,14.57,18.06,78.2,11.17,1.85,0.19,1.93,1.11,5.55,5309,2.13,57.15,42.85,9744,54.48,45.52,71.28,28.72,190600,14.41,85.59,7.3,29.79,33.89,19.22,9.8,1.79,31.07,32.52,0,0,20.87,15.53,36,3.126628452,3205,278.356783
54844,227,63.5,9.25,44.49,46.26,51.54,48.46,96.04,0.44,0,0,0,0,3.52,33485,46667,5.73,24.19,73.91,7.25,0,0,5.8,2.9,10.14,118,1.92,72.77,27.23,547,21.57,78.43,90.68,9.32,172300,8.37,91.63,0,21.72,40.4,13.64,24.24,3.96,22.22,0,0,0,22.22,55.56,2,8.810572687,59,259.9118943
54845,111,36.1,30.63,53.15,16.22,52.25,47.75,72.07,0,0,0,0,27.03,0.9,24478,66250,31.53,27.44,82,0,0,0,0,0,18,36,3.08,74.7,25.3,61,59.02,40.98,100,0,150000,4.67,95.33,16.88,32.47,45.45,5.19,0,0,0,0,0,0,0,0,0,0,31,279.2792793
54855,933,31.8,41.48,45.98,12.54,54.02,45.98,98.71,0.21,0,0.21,0,0.86,0,19548,49896,8.38,27.08,76.56,9.5,0.89,0,1.48,2.67,8.9,285,3.27,65.33,34.67,388,73.45,26.55,93.68,6.32,146900,4.18,95.82,4.67,43.81,29.21,16.84,5.48,0.75,14.29,28.57,28.57,0,28.57,0,0,0,144,154.340836
54856,1671,49.4,22.32,54.52,23.16,52.84,47.16,92.76,0,4.01,1.02,0,1.44,0.48,28174,58917,7.6,24.71,83.98,8.7,0.37,0,1.74,0.3,4.35,696,2.4,65.41,34.59,1090,63.85,36.15,88.51,11.49,150700,5.29,94.71,2.41,34,42.23,16.21,5.15,0.36,50,33.33,0,0,0,16.67,1,0.598444045,313,187.3129862
54858,1685,43.4,22.26,51.81,25.93,47.95,52.05,88.31,0.77,0.89,0,0.06,3.2,6.77,23384,43087,18.98,24.97,84.45,5.81,1.6,0,1.31,2.62,4.22,755,2.23,54.28,45.72,1147,65.82,34.18,66.23,33.77,137200,11.94,88.06,8.07,43.93,31.11,13.98,2.91,0.12,100,0,0,0,0,0,4,2.37388724,437,259.347181
54859,1803,57.5,15.81,50.86,33.33,54.02,45.98,94.29,0.44,1.11,1.83,0,1,1.33,29330,47171,15.38,24.21,77.55,14.43,0.44,0,2.77,1.02,3.79,919,1.96,60.58,39.42,2380,38.61,61.39,80.74,19.26,172900,12.46,87.54,10.73,34.29,34.7,11.08,9.2,2.11,18.42,81.58,0,0,0,0,3,1.663893511,421,233.4997227
54861,143,37.2,32.17,63.64,4.2,44.06,55.94,2.8,0,75.52,0,0,18.18,3.5,20897,62000,15.71,28,30,36.25,12.5,0,15,0,6.25,44,3.25,22.68,77.32,44,100,0,15.91,84.09,0,3.12,96.88,24.74,53.61,10.31,11.34,0,0,0,0,0,0,0,0,0,0,16,111.8881119
54862,289,50.6,17.65,54.67,27.68,57.44,42.56,91,0,0.35,0.35,0,5.19,3.11,28220,41016,9.34,21.04,61.98,3.31,4.13,0,4.96,9.09,16.53,157,1.81,49.01,50.99,292,53.77,46.23,96.18,3.82,148300,7.02,92.98,14.95,40.65,35.98,7.48,0.93,0.35,0,100,0,0,0,0,0,0,44,152.2491349
54864,1376,45.3,23.04,61.85,15.12,53.05,46.95,93.17,2.83,2.98,0.36,0,0.36,0.29,29682,65509,8.82,28.95,82.71,7.43,0,0,0.97,0,8.89,549,2.51,61.36,38.64,597,91.96,8.04,85.97,14.03,174200,7.42,92.58,4.35,36.54,33.91,18.32,6.88,0.8,54.55,45.45,0,0,0,0,0,0,321,233.2848837
54865,489,54.8,10.84,54.19,34.97,50.51,49.49,94.07,1.84,1.02,0,0,1.84,1.23,34085,53333,14.11,28.44,79.09,10.27,0,0,3.04,0.38,7.22,256,1.91,54.87,45.13,514,49.81,50.19,88.28,11.72,154200,17.32,82.68,2.61,26.63,32.9,19.06,18.8,0.61,33.33,66.67,0,0,0,0,0,0,117,239.2638037
54867,475,28.6,22.53,60,17.47,45.89,54.11,68.84,1.05,14.53,0.21,0,10.53,4.84,21313,28750,37.47,33.21,50,39.57,0,0,0.43,2.17,7.83,235,2.02,41.58,58.42,377,62.33,37.67,56.6,43.4,88600,15.37,84.63,4.58,54.93,29.93,8.1,2.46,0.42,50,50,0,0,0,0,6,12.63157895,114,240
54868,15380,40.7,21.31,57.68,21.01,51.18,48.82,95.49,0.1,0.52,0.73,0,1.44,1.41,32706,53093,12.66,16.53,80.41,7.19,0.5,0,4.5,0.31,6.52,6727,2.24,56.32,43.68,7768,86.6,13.4,70.28,29.72,165200,10.42,89.58,5.42,33.78,33.99,17.82,8.98,1.46,35.71,39.73,0,0,16.96,7.59,51,3.315994798,4418,287.2561769
54870,1689,54.8,16.64,53.82,29.54,48.67,51.33,96.39,0,0.65,0,0,2.13,0.83,36822,61190,6.6,28.33,73.73,8.37,0.65,0,3.66,1.44,12.16,742,2.27,70.37,29.63,1626,45.63,54.37,90.57,9.43,227800,4.68,95.32,4.69,33.56,35.75,16.86,9.15,1.07,38.89,0,0,33.33,27.78,0,3,1.776198934,327,193.6056838
