Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/08/2021,605,5,27,175,117,103,94,60,26,18,12,0,304,296,5,96,17,157,176,59,100,0,0,0,0,0,2,2,1,0,3,2,0,2,0,2,1,0,0,4,1,5,4,3,4,3,3,0,16,11,0,7,0,13,6,0,1
04/21/2021,655,8,71,110,161,134,105,62,44,19,20,0,346,309,0,165,32,234,150,14,60,0,1,0,1,1,2,2,1,0,3,5,0,2,0,3,2,1,0,2,8,7,9,14,16,5,10,0,40,31,0,11,5,45,9,1,0
08/22/2021,284,7,33,45,65,61,52,33,16,6,6,0,151,133,0,51,7,76,106,10,34,0,0,0,2,2,1,0,2,0,4,3,0,1,1,5,0,0,0,1,4,4,11,4,4,1,4,0,19,14,0,6,1,17,8,0,1
07/02/2021,55,1,6,5,11,10,13,6,7,3,0,0,33,22,0,10,2,13,19,5,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,6,0,0,0,0,6,0,0,0
01/23/2022,681,21,63,170,118,138,101,72,44,24,14,0,340,337,4,142,43,97,215,50,134,0,1,0,1,2,3,8,6,0,10,11,0,3,1,15,2,0,0,3,4,5,7,8,13,13,10,0,43,20,0,14,2,30,14,1,2
06/22/2020,218,9,32,23,60,34,38,26,19,15,3,0,113,105,0,111,3,47,33,5,19,0,1,0,0,2,3,1,2,0,5,4,0,7,0,1,1,0,0,1,4,6,3,6,5,4,3,0,15,17,0,15,0,14,3,0,0
12/31/2021,5265,22,230,1018,1131,950,809,616,406,214,120,1,2881,2324,60,1260,229,1191,1077,358,1150,0,0,0,1,3,4,8,6,0,7,15,0,2,1,12,7,0,0,15,26,26,19,32,33,42,36,1,125,105,0,42,7,124,47,8,2
08/16/2020,120,3,18,10,40,28,9,15,10,6,1,1,56,63,1,29,6,20,50,8,7,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,6,0,1,2,5,1,3,0,12,6,0,9,1,6,2,0,0
09/19/2021,244,2,32,55,50,56,34,23,16,2,8,0,127,116,1,49,17,61,73,20,24,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,2,6,1,7,5,5,2,4,0,14,18,0,5,1,17,5,1,3
02/11/2022,314,7,20,70,83,56,32,29,22,14,8,0,163,148,3,58,21,44,110,20,61,0,0,0,0,0,1,5,1,0,2,5,0,2,1,2,2,0,0,1,1,6,1,2,3,4,2,0,10,10,0,4,0,8,6,0,2
